geo_type,region,transportation_type,alternative_name,sub-region,country,Date,Frequency
city,Charlotte,driving,NA,North Carolina,United States,2020-01-13,100
city,Charlotte,driving,NA,North Carolina,United States,2020-01-14,102.45
city,Charlotte,driving,NA,North Carolina,United States,2020-01-15,106.51
city,Charlotte,driving,NA,North Carolina,United States,2020-01-16,111.42
city,Charlotte,driving,NA,North Carolina,United States,2020-01-17,130.02
city,Charlotte,driving,NA,North Carolina,United States,2020-01-18,116.21
city,Charlotte,driving,NA,North Carolina,United States,2020-01-19,86.55
city,Charlotte,driving,NA,North Carolina,United States,2020-01-20,103.85
city,Charlotte,driving,NA,North Carolina,United States,2020-01-21,106.98
city,Charlotte,driving,NA,North Carolina,United States,2020-01-22,105.34
city,Charlotte,driving,NA,North Carolina,United States,2020-01-23,110.31
city,Charlotte,driving,NA,North Carolina,United States,2020-01-24,121.02
city,Charlotte,driving,NA,North Carolina,United States,2020-01-25,120.24
city,Charlotte,driving,NA,North Carolina,United States,2020-01-26,81.29
city,Charlotte,driving,NA,North Carolina,United States,2020-01-27,100.23
city,Charlotte,driving,NA,North Carolina,United States,2020-01-28,107.32
city,Charlotte,driving,NA,North Carolina,United States,2020-01-29,105.3
city,Charlotte,driving,NA,North Carolina,United States,2020-01-30,109.3
city,Charlotte,driving,NA,North Carolina,United States,2020-01-31,122.45
city,Charlotte,driving,NA,North Carolina,United States,2020-02-01,121.25
city,Charlotte,driving,NA,North Carolina,United States,2020-02-02,82.74
city,Charlotte,driving,NA,North Carolina,United States,2020-02-03,101.73
city,Charlotte,driving,NA,North Carolina,United States,2020-02-04,105.4
city,Charlotte,driving,NA,North Carolina,United States,2020-02-05,104.77
city,Charlotte,driving,NA,North Carolina,United States,2020-02-06,102.02
city,Charlotte,driving,NA,North Carolina,United States,2020-02-07,128.37
city,Charlotte,driving,NA,North Carolina,United States,2020-02-08,118.69
city,Charlotte,driving,NA,North Carolina,United States,2020-02-09,88.2
city,Charlotte,driving,NA,North Carolina,United States,2020-02-10,106.68
city,Charlotte,driving,NA,North Carolina,United States,2020-02-11,109.53
city,Charlotte,driving,NA,North Carolina,United States,2020-02-12,110.91
city,Charlotte,driving,NA,North Carolina,United States,2020-02-13,116.26
city,Charlotte,driving,NA,North Carolina,United States,2020-02-14,146.3
city,Charlotte,driving,NA,North Carolina,United States,2020-02-15,130.8
city,Charlotte,driving,NA,North Carolina,United States,2020-02-16,91.64
city,Charlotte,driving,NA,North Carolina,United States,2020-02-17,111.41
city,Charlotte,driving,NA,North Carolina,United States,2020-02-18,110.74
city,Charlotte,driving,NA,North Carolina,United States,2020-02-19,114.02
city,Charlotte,driving,NA,North Carolina,United States,2020-02-20,98.74
city,Charlotte,driving,NA,North Carolina,United States,2020-02-21,127.99
city,Charlotte,driving,NA,North Carolina,United States,2020-02-22,135.98
city,Charlotte,driving,NA,North Carolina,United States,2020-02-23,91.47
city,Charlotte,driving,NA,North Carolina,United States,2020-02-24,108.33
city,Charlotte,driving,NA,North Carolina,United States,2020-02-25,114.58
city,Charlotte,driving,NA,North Carolina,United States,2020-02-26,118.72
